Geography Name,County FIPS,County Name,Place FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),Living in Poverty,At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk,Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),City/Town
Grandfather Village village,11,Avery,3727324,74,47.8,1.55,0,4,28,0,28,42,0,42,,0.32,0.02,5.11,5.12,,,,,,,,,,,,,,,
Grandy CDP,53,Currituck,3727400,2939,433.9,6.77,69,492,1679,157,1522,669,31,638,,0.38,1.86,37.53,39.38,,,,,,,,,,,,,,,
Granite Falls town,27,Caldwell,3727420,4659,944.5,4.93,182,867,2591,235,2356,902,54,848,71,0.44,0.12,2.96,3.08,,,,,,,,,,,,,,,
Granite Quarry town,159,Rowan,3727440,2973,1023.4,2.9,109,690,1743,252,1491,387,43,344,72,0.42,0.99,9.1,10.09,,,,,,,,,,,,,,,
Grantsboro town,137,Pamlico,3727520,586,152.1,3.85,37,61,405,47,358,83,20,63,,0.67,0,4.48,4.48,,,,,,,,,,,,,,,
Greenevers town,61,Duplin,3727780,901,567.6,1.59,93,70,526,80,446,155,16,139,43,0.78,,,,1,Flood mitigation Currie/Duplin street,"The stormwater drainage canal located between Duplin and Currie Streets in Wallace experiences flooding during major storms and periods of heavy rainfall occurring within a short period of time. Continued flooding has resulted in caving in and widening of the canal which is now in danger of undermining nearby houses. Previous efforts by the Town to haul in dirt to shore up the bank have not provided a viable long term solution. Golden LEAF flood mitigation grant funds will be used to install sheet piling and rip rap along the bank to stop erosion, improve the transport of stormwater, and significantly reduce flooding along the canal. This canal carries one third of total stormwater for the town and connects downstream to the main branch of Little Rockfish Creek, which is the town’s main drainage area. There are two households in the immediate project area. The flooding and erosion also threaten a main sewer line that crosses over and runs parallel to the canal,  and which must be inspected for damage and exposure after each heavy rain event.
",Town of Wallace,Local Government,Infrastructure,2/22/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,Wallace
Green Level town,1,Alamance,3727870,2541,1692.8,1.5,194,448,1407,245,1162,456,80,376,65,0.82,0.17,0.69,0.87,,,,,,,,,,,,,,,
Greensboro city,81,Guilford,3728000,294395,2271.8,129.58,17036,47040,177338,29902,147436,38356,4675,33681,91,0.81,0.39,9.75,10.14,,,,,,,,,,,,,,,
Greenville city,147,Pitt,3728080,92826,2536.4,36.6,5299,12868,59578,17473,42105,8648,822,7826,81,0.61,3.02,24.08,27.1,,,,,,,,,,,,,,,
Grifton town,"147, 107","Pitt, Lenoir",3728200,2873,1071,2.68,191,353,1927,543,1384,389,48,341,,0.8,4.69,23.51,28.2,,,,,,,,,,,,,,,
Grimesland town,147,Pitt,3728240,392,576.3,0.68,23,33,253,63,190,83,8,75,54,0.43,,,,,,,,,,,,,,,,,,
Grover town,45,Cleveland,3728400,588,615.4,0.96,16,126,291,54,237,155,13,142,57,0.68,0,0.09,0.09,,,,,,,,,,,,,,,
Gulf CDP,37,Chatham,3728600,0,0,0.91,0,0,0,0,0,0,0,0,,0.53,0,6.21,6.21,16,Loves Creek Tributary 2 Flood Study,The Town of Siler City experiences flooding along Loves Creek Tributary 2 several times a year during heavy rain events. Flooding along the tributary causes nearby businesses to experience property damage and roadways to flood resulting in loss of access by the public. Golden LEAF flood mitigation grant funds will be used for necessary analysis to determine a list of priority projects for flood and stormwater mitigation. The town and business owners in the area will be responsible for implementation. The town is also committing to the creation of a stormwater utility fund. Businesses and households in the area will benefit from this project.,Town of Siler City,Local Government,Planning,3/29/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,210000,210000,Siler City
Half Moon CDP,133,Onslow,3728900,8384,1129.8,7.42,486,1721,5091,752,4339,961,0,961,56,0.52,0.75,17.99,18.74,,,,,,,,,,,,,,,
Halifax town,83,Halifax,3728920,240,524.9,0.46,4,28,195,16,179,13,0,13,55,0.73,3.47,4.95,8.43,,,,,,,,,,,,,,,
Hallsboro CDP,47,Columbus,3729000,444,135.5,3.28,0,45,172,34,138,227,0,227,,0.77,2.16,18.84,21,14,Hickman Road Flood Mitigation,The Town of Tabor City reports that the existing drainage ditch running perpendicular to Hickman Road in the southern part of town is prone to frequent flooding during heavy rain events. Streets and residential properties in the area are often left flooded for extended periods of time. Golden LEAF flood mitigation grant funds will be used to install infrastructure to enclose the ditch and improve drainage to eliminate flooding in the area. An exposed water line running along the slope of the ditch will be abandoned and water services will be reconnected to existing water lines located upstream. Households and vehicles traveling on adjacent roads in the immediate project area will benefit from this project.,Town of Tabor City,Local Government,Infrastructure,5/10/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,175000,175000,Tabor City
Hamilton town,117,Martin,3729120,226,457.4,0.49,3,20,121,17,104,82,0,82,4,0.69,0,4.74,4.74,,,,,,,,,,,,,,,
Hamlet city,153,Richmond,3729160,6366,1208.6,5.27,557,899,3788,775,3013,1032,137,895,75,0.75,0.63,7.7,8.33,,,,,,,,,,,,,,,
Hampstead CDP,141,Pender,3729180,6940,342.9,20.24,335,1534,3778,380,3398,1240,114,1126,,0.22,0,10.17,10.17,3,Surf City South Shore Flood Mitigation Project,"The 2200 block of South Shore Drive in Surf City experiences flooding on the roadway due to insufficient stormwater infrastructure. Stormwater runoff is trapped on the road by higher elevation of driveways serving houses along the road. Heavy rainfall causes flooding that obstructs passage of vehicles, including public safety vehicles. This road is the only way in and out of southern Surf City and serves the entirety of Topsail Beach. A feasibility study of the overall stormwater issues along South Shore Drive developed a specific solution to address the issue. Golden LEAF flood mitigation grant funds will be used to install a catch basin with drain pipe to convey stormwater to a new infiltration chamber system that collects and releases stormwater back into native soils. Once completed, the town’s utilities staff will maintain the system. The project will directly serve households, and public and private entities.",Town of Surf City,Local Government,Infrastructure,2/25/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,Surf City
Harkers Island CDP,31,Carteret,3729560,1314,586.3,2.24,42,127,725,142,583,420,36,384,57,0.29,6.45,69.37,75.82,,,,,,,,,,,,,,,
Harmony town,97,Iredell,3729640,525,387,1.36,3,92,312,23,289,89,2,87,56,0.54,,,,,,,,,,,,,,,,,,
Harrells town,"163, 61","Sampson, Duplin",3729680,217,69,3.15,35,17,119,34,85,46,3,43,,0.85,,,,,,,,,,,,,,,,,,
Harrellsville town,91,Hertford,3729720,177,610,0.29,0,64,107,24,83,6,0,6,47,0.9,,,,,,,,,,,,,,,,,,
Harrisburg town,25,Cabarrus,3729800,16073,1425.2,11.28,69,5004,9426,379,9047,1492,17,1475,78,0.15,2.28,13.62,15.9,,,,,,,,,,,,,,,
Hassell town,117,Martin,3730040,34,127.6,0.27,0,0,6,3,3,28,0,28,42,0.69,,,,,,,,,,,,,,,,,,
Hatteras CDP,55,Dare,3730100,373,236.5,1.58,0,70,145,1,144,145,0,145,,0.49,1.31,95.85,97.16,21,Roanoke Island Drainage Improvements,"The Roanoke Colony residential neighborhood in Dare County experiences frequent flooding during major storm events due to undersized drainage structures in this flat, low-lying area on the northern end of Roanoke Island. After Hurricane Matthew, NCDOT and Dare County completed the 2019 Roanoke Island Flooding Analysis which proposed drainage improvements. Golden LEAF flood mitigation grant funds will be used to incorporate recommendations to upsize pipes and implement other improvements to the area. Areas upstream flood more frequently and the study determined undersized piping in the project area slowed the drainage of those properties. Proposed work includes replacing 150 linear feet of existing pipe with a larger size, enclosing the ditch within Roanoke Colony with drainage pipe with drop inlets, replacing the culvert beneath Roanoke Trail, removing the culvert immediately downstream of the airport property, and regrading/widening the ditch that runs between the Outer Banks SPCA and airport. Homes located in the upstream area identified in the analysis will benefit from this project.",Dare County,Local Government,Infrastructure,6/23/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,County
Havelock city,49,Craven,3730120,19927,1166.2,17.09,1077,3655,9988,1276,8712,1093,48,1045,79,0.34,1.8,13.61,15.41,8,Channel Run Phase II,"River Bend, specifically in the Channel Run Subdivision, is subject to frequent flooding due to its topography. Following Hurricane Florence, the town contracted with an engineer to investigate the area, assess elevations, and make recommendations to improve drainage to reduce flooding. Golden LEAF flood mitigation grant funds will be used to implement Phase II of the project, re-grading and resloping natural drainage infrastructure (ditches) throughout the community. Completion of Phase II will ensure that water flows efficiently and effectively to mitigate flooding. All of the work will be done within the town's rights-of-way or within stormwater outfall lines already owned by the town. The town will contribute funds to complete the project. There are households located in the immediate project areas, with additional households in the neighborhood that will also benefit from reduced flooding after completion of Phase II. This project will also reduce flooding on a primary road through the development. ",Town of River Bend,Local Government,Infrastructure,3/14/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,River Bend
Havelock city,49,Craven,3730120,19927,1166.2,17.09,1077,3655,9988,1276,8712,1093,48,1045,79,0.34,1.8,13.61,15.41,22,Rose Street Pump Retrofit,"The City of New Bern experiences flooding along Rose Street in the Duffyfield community during frequent rain events. The flooding can take up to 2 weeks to fully dewater. In 2020, the city completed a multiphase feasibility study to create the Duffyfield Resiliency Improvement Initiative. Retrofitting of the stormwater pump station on Rose Street was identified as one of the projects to reduce repetitive flooding in this area. Golden LEAF flood mitigation grant funds will be used to modify the existing stormwater pump to allow for better mitigation against larger storm events and lowering the water levels in the Duffyfield community. The city is currently pursuing funding from the NC Land and Water Fund, the NC DOJ Environmental Enhancement Grant, and a Resilient Coastal Communities Grant to implement strategies identified. There are households, businesses, other public and private entities, and a healthcare facility that are in the immediate project area that will benefit from this project. ",City of New Bern,Local Government,Infrastructure,6/30/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,249760,249760,New Bern
Haw River town,1,Alamance,3730260,2477,857.6,2.89,52,532,1477,179,1298,416,30,386,7,0.83,1.79,10.22,12.01,,,,,,,,,,,,,,,
Hayesville town,43,Clay,3730280,387,608.4,0.64,22,71,185,77,108,70,23,47,47,0.54,0,13.2,13.2,,,,,,,,,,,,,,,
Hays CDP,193,Wilkes,3730340,1360,220.8,6.16,37,198,800,126,674,325,0,325,55,0.58,0,0.4,0.4,,,,,,,,,,,,,,,
Hemby Bridge town,179,Union,3730620,1853,808.7,2.29,24,454,1095,99,996,268,27,241,6,0.2,1.25,7.9,9.15,,,,,,,,,,,,,,,
Henderson city,181,Vance,3730660,15127,1754,8.62,1516,2271,8530,2255,6275,2406,542,1864,76,0.8,0,3.17,3.17,,,,,,,,,,,,,,,
Hendersonville city,89,Henderson,3730720,14020,1892.7,7.41,1124,1348,7124,1064,6060,4021,391,3630,71,0.55,1.94,13.49,15.43,,,,,,,,,,,,,,,
Henrietta CDP,161,Rutherford,3730800,455,779.5,0.58,0,0,355,51,304,100,0,100,,0.73,0,10.05,10.05,,,,,,,,,,,,,,,
Hertford town,143,Perquimans,3730900,2126,743,2.86,187,365,1055,301,754,470,26,444,62,0.75,2.28,21.52,23.8,15,Town of Hertford Stormwater Master Plan,"The Town of Hertford experiences flooded streets during heavy rain events, preventing access to public and private property and creating high volumes at the wastewater treatment facility due to inflow and infiltration. Conditions are attributed to stormwater infrastructure collapsed or shifted by severe flooding during hurricanes that prevents runoff from draining properly. The town will use Golden LEAF flood mitigation grant funds to perform necessary field data collection and performance modeling of existing watersheds, map the location and condition of stormwater assets, and develop concept plans and alternatives that will allow the town to identify and prioritize improvement options and create opinions of probable cost. Development of a stormwater master plan will serve the entire town, though modeling and improvements will focus on three sub-watersheds that drain into Jennie's Gut, Perquimans River, and Lakers Creek. Frequent flooding around Stokes, White, and Front streets make stormwater improvements in these areas a priority. Once completed, the town will incorporate recommendations into annual capital improvement planning and pursue grant funds to implement recommendations. The majority of the town will benefit from this project.",Town of Hertford,Local Government,Planning,6/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,90000,90000,Hertford
Hickory city,35,Catawba,3731060,41067,1336.3,30.73,2286,6857,24165,3802,20363,6221,595,5626,,0.64,0.85,3.04,3.89,,,,,,,,,,,,,,,
Hiddenite CDP,3,Alexander,3731260,295,185.6,1.59,29,16,233,72,161,0,0,0,,0.67,0,1.16,1.16,,,,,,,,,,,,,,,
Highlands town,113,Macon,3731360,1061,173.2,6.13,18,104,584,126,458,336,17,319,,0.21,0.06,3.91,3.97,,,,,,,,,,,,,,,
High Point city,81,Guilford,3731400,112434,1994.8,56.36,5491,19565,65574,9283,56291,17184,1525,15659,,0.57,0.82,8.66,9.49,,,,,,,,,,,,,,,
High Shoals city,71,Gaston,3731440,841,323.2,2.6,123,136,453,129,324,129,34,95,55,0.34,0.79,13.46,14.25,,,,,,,,,,,,,,,
Hightsville CDP,129,New Hanover,3731490,823,564.4,1.46,0,52,193,76,117,73,0,73,62,0.21,3.79,49.02,52.81,,,,,,,,,,,,,,,
Hildebran town,23,Burke,3731500,1652,584.1,2.83,115,250,969,162,807,318,47,271,78,0.64,0.1,0.89,0.99,19,Bethel Park Stream Restoration Phase 1,"Bethel Park is a highly utilized recreational park located at the convergence of East Prong Hunting Creek and Fiddlers Run in the City of Morganton. The park currently experiences frequent flooding during heavy rainfall events resulting in standing water and sediment deposition around the athletic field and on the majority of the walking trail encompassing the outer park boundary. Area residents also report flooding impacting their property. The city had a detailed assessment of the watershed conducted, including hydrologic and hydraulic modeling to determine necessary improvements. The overall proposed project involves two phases. Golden LEAF flood mitigation grant funds will be used to support implementation of Phase I which includes stream restoration for East Prong Hunting Creek including excavating a lower floodplain at the elevation of the existing incised stream channel, excavating floodplain benches along the new stream alignment to provide increased flow capacity, establishing a riparian buffer along the banks of East Prong Hunting Creek, constructing bioretention swales to direct overbank stormwater flows into the streams, replacing an existing bridge once the stream is widened, redesigning an existing culvert to improve flow, relocating an existing dog park away from the stream to reduce the pollutant load to downstream receiving waters, and elevating recreational areas such as the athletic field and walking track to mitigate flood impacts on the most used open areas. Additional funding for Phase 1 was awarded by the North Carolina Land and Water Fund Grant in 2021 as well as match funding from the City. There are households located in the immediate project area that will benefit from completion of this project. ",City of Morganton,Local Government,Infrastructure,5/31/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Morganton
Hillsborough town,135,Orange,3731620,7162,1263.3,5.67,113,1141,4370,416,3954,1060,97,963,72,0.41,0.81,6.38,7.19,,,,,,,,,,,,,,,
Hobgood town,83,Halifax,3731860,317,306.7,1.03,30,53,175,41,134,59,4,55,49,0.73,0,1.89,1.89,,,,,,,,,,,,,,,
Hobucken CDP,137,Pamlico,3731880,42,8.3,5.08,24,0,18,18,0,0,0,0,,0.91,0,100,100,,,,,,,,,,,,,,,
Hoffman town,153,Richmond,3731920,778,228.7,3.4,70,135,490,201,289,83,3,80,55,0.81,0,1.13,1.13,,,,,,,,,,,,,,,
Holden Beach town,19,Brunswick,3731960,978,322.4,3.03,0,44,552,21,531,382,9,373,66,0.17,4.32,93.17,97.49,13,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Boiling Springs Lakes
Hollister CDP,83,Halifax,3732100,860,218.3,3.94,68,137,526,72,454,129,46,83,,0.82,0,13.04,13.04,,,,,,,,,,,,,,,
Holly Ridge town,133,Onslow,3732180,2649,662.5,4,14,486,1871,75,1796,278,16,262,82,0.31,0.06,4.4,4.46,,,,,,,,,,,,,,,
Holly Springs town,183,Wake,3732260,36595,2109.8,17.35,346,12342,20985,1086,19899,2750,93,2657,78,0.14,0.62,6,6.62,,,,,,,,,,,,,,,
Hookerton town,79,Greene,3732540,645,2024.2,0.32,54,105,366,56,310,120,30,90,45,0.96,1.63,13.98,15.61,,,,,,,,,,,,,,,
Hoopers Creek CDP,89,Henderson,3732580,1392,200.6,6.94,16,356,815,64,751,196,16,180,,0.19,0.29,1.11,1.4,,,,,,,,,,,,,,,
Hope Mills town,51,Cumberland,3732640,15972,1984,8.05,1000,3222,9652,1332,8320,1644,127,1517,71,0.63,2.13,8.81,10.94,,,,,,,,,,,,,,,
Horse Shoe CDP,89,Henderson,3732740,2174,291.4,7.46,73,363,1028,149,879,696,50,646,,0.24,1.3,19.37,20.67,,,,,,,,,,,,,,,
Hot Springs town,115,Madison,3732840,530,184.9,2.87,40,42,339,81,258,109,23,86,57,0.7,3.37,19.24,22.62,,,,,,,,,,,,,,,
Hudson town,27,Caldwell,3732980,3713,1015.1,3.66,289,668,2159,432,1727,571,79,492,89,0.55,0.78,7.16,7.95,,,,,,,,,,,,,,,
Huntersville town,119,Mecklenburg,3733120,57288,1385.7,41.34,728,14401,34958,1400,33558,6809,168,6641,74,0.16,0,7.24,7.24,,,,,,,,,,,,,,,
Icard CDP,23,Burke,3733320,2119,553.8,3.83,87,377,1205,207,998,364,121,243,56,0.74,0.05,1.34,1.39,19,Bethel Park Stream Restoration Phase 1,"Bethel Park is a highly utilized recreational park located at the convergence of East Prong Hunting Creek and Fiddlers Run in the City of Morganton. The park currently experiences frequent flooding during heavy rainfall events resulting in standing water and sediment deposition around the athletic field and on the majority of the walking trail encompassing the outer park boundary. Area residents also report flooding impacting their property. The city had a detailed assessment of the watershed conducted, including hydrologic and hydraulic modeling to determine necessary improvements. The overall proposed project involves two phases. Golden LEAF flood mitigation grant funds will be used to support implementation of Phase I which includes stream restoration for East Prong Hunting Creek including excavating a lower floodplain at the elevation of the existing incised stream channel, excavating floodplain benches along the new stream alignment to provide increased flow capacity, establishing a riparian buffer along the banks of East Prong Hunting Creek, constructing bioretention swales to direct overbank stormwater flows into the streams, replacing an existing bridge once the stream is widened, redesigning an existing culvert to improve flow, relocating an existing dog park away from the stream to reduce the pollutant load to downstream receiving waters, and elevating recreational areas such as the athletic field and walking track to mitigate flood impacts on the most used open areas. Additional funding for Phase 1 was awarded by the North Carolina Land and Water Fund Grant in 2021 as well as match funding from the City. There are households located in the immediate project area that will benefit from completion of this project. ",City of Morganton,Local Government,Infrastructure,5/31/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Morganton
Indian Beach town,31,Carteret,3733460,184,323.1,0.57,0,0,106,5,101,68,0,68,64,0.16,36.77,58.49,95.26,,,,,,,,,,,,,,,
Indian Trail town,179,Union,3733560,39644,1782.8,22.24,851,10438,24366,1272,23094,3823,175,3648,84,0.25,0.8,8.59,9.39,,,,,,,,,,,,,,,
Ingold CDP,163,Sampson,3733640,533,102.9,5.18,191,45,248,163,85,49,20,29,43,0.85,0.5,26.75,27.26,9,Clinton Weeks Street Hazard Mitigation Project 2022,"The City of Clinton experiences frequent flooding along Weeks Street, including three major flooding events in 2021. During flooding events along Weeks Street, emergency vehicles are unable to access residences and surrounding roads (including Highway 24) are overtopped. A 2020 preliminary drainage feasibility study found that flooding is likely caused by an undersized pipe system with minimal elevation change. Currently, the existing drainage route runs along Weeks Street into the drainage route from Smithfield Packing Company. Golden LEAF flood mitigation grant funds will be used to reroute the existing drainage system into a separate path to cross Highway 24 and into an existing farm ditch. Additional curb inlets and reinforced concrete pipe will be installed to support the design. City and other funds will be used to improve the existing farm ditch which currently collects runoff. Households in the project area and vehicles traveling on adjacent roads will benefit from this project.",Town of Clinton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Clinton
Iron Station CDP,109,Lincoln,3733820,539,228.2,2.36,0,119,314,42,272,106,12,94,,0.53,0,2.04,2.04,,,,,,,,,,,,,,,
Ivanhoe CDP,163,Sampson,3733940,229,45.6,5.02,65,0,51,51,0,113,22,91,44,0.84,1.41,43.59,45,9,Clinton Weeks Street Hazard Mitigation Project 2022,"The City of Clinton experiences frequent flooding along Weeks Street, including three major flooding events in 2021. During flooding events along Weeks Street, emergency vehicles are unable to access residences and surrounding roads (including Highway 24) are overtopped. A 2020 preliminary drainage feasibility study found that flooding is likely caused by an undersized pipe system with minimal elevation change. Currently, the existing drainage route runs along Weeks Street into the drainage route from Smithfield Packing Company. Golden LEAF flood mitigation grant funds will be used to reroute the existing drainage system into a separate path to cross Highway 24 and into an existing farm ditch. Additional curb inlets and reinforced concrete pipe will be installed to support the design. City and other funds will be used to improve the existing farm ditch which currently collects runoff. Households in the project area and vehicles traveling on adjacent roads will benefit from this project.",Town of Clinton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Clinton
JAARS CDP,179,Union,3733993,1090,1268.4,0.86,275,145,543,39,504,49,19,30,62,0.19,0,24.53,24.53,,,,,,,,,,,,,,,
Jackson town,131,Northampton,3734000,708,701,1.01,11,132,339,102,237,163,29,134,54,0.74,3.07,10.52,13.59,,,,,,,,,,,,,,,
Jackson Heights CDP,107,Lenoir,3734038,714,491.4,1.45,94,16,403,22,381,201,34,167,,0.92,9.97,7.47,17.44,11,Engineering Costs for Planning and Development of Flood Mitigation Solutions for the Adkin Branch Stream,"The City of Kinston experiences flooding along Adkin Branch which runs through many residential areas and commercial/business districts. When flooding occurs along Adkin Branch, residents are restricted from accessing emergency services and nearby medical offices. The city will use Golden LEAF flood mitigation grant funds to review existing data sources, collect additional data from field surveys, begin permitting processes, and to update existing models as needed. The city will also use funds for project coordination, and to develop a plan for flood mitigation solutions. The city has committed to funding remaining costs associated with this project from its stormwater utility fund. The city has also received funding from North Carolina Emergency Management for Stage 2 improvements along Adkin Branch. Households in the immediate project area and surrounding areas in the city will benefit from this project.",City of Kinston,Local Government,Planning,3/21/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Kinston
Jackson Springs CDP,125,Moore,3734160,132,82.7,1.6,0,0,104,0,104,28,0,28,,0.21,1.1,6.45,7.55,,,,,,,,,,,,,,,
Jacksonville city,133,Onslow,3734200,74313,1527.5,48.65,2938,12644,34809,4134,30675,4824,508,4316,77,0.77,0.92,24.2,25.12,,,,,,,,,,,,,,,
James City CDP,49,Craven,3734260,5378,697.5,7.71,293,815,3117,386,2731,1012,60,952,59,0.29,2.02,51.23,53.25,8,Channel Run Phase II,"River Bend, specifically in the Channel Run Subdivision, is subject to frequent flooding due to its topography. Following Hurricane Florence, the town contracted with an engineer to investigate the area, assess elevations, and make recommendations to improve drainage to reduce flooding. Golden LEAF flood mitigation grant funds will be used to implement Phase II of the project, re-grading and resloping natural drainage infrastructure (ditches) throughout the community. Completion of Phase II will ensure that water flows efficiently and effectively to mitigate flooding. All of the work will be done within the town's rights-of-way or within stormwater outfall lines already owned by the town. The town will contribute funds to complete the project. There are households located in the immediate project areas, with additional households in the neighborhood that will also benefit from reduced flooding after completion of Phase II. This project will also reduce flooding on a primary road through the development. ",Town of River Bend,Local Government,Infrastructure,3/14/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,River Bend
James City CDP,49,Craven,3734260,5378,697.5,7.71,293,815,3117,386,2731,1012,60,952,59,0.29,2.02,51.23,53.25,22,Rose Street Pump Retrofit,"The City of New Bern experiences flooding along Rose Street in the Duffyfield community during frequent rain events. The flooding can take up to 2 weeks to fully dewater. In 2020, the city completed a multiphase feasibility study to create the Duffyfield Resiliency Improvement Initiative. Retrofitting of the stormwater pump station on Rose Street was identified as one of the projects to reduce repetitive flooding in this area. Golden LEAF flood mitigation grant funds will be used to modify the existing stormwater pump to allow for better mitigation against larger storm events and lowering the water levels in the Duffyfield community. The city is currently pursuing funding from the NC Land and Water Fund, the NC DOJ Environmental Enhancement Grant, and a Resilient Coastal Communities Grant to implement strategies identified. There are households, businesses, other public and private entities, and a healthcare facility that are in the immediate project area that will benefit from this project. ",City of New Bern,Local Government,Infrastructure,6/30/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,249760,249760,New Bern
Jamestown town,81,Guilford,3734300,4298,1435.6,2.99,156,577,2407,277,2130,1156,0,1156,84,0.28,2.07,9.3,11.37,,,,,,,,,,,,,,,
Jamesville town,117,Martin,3734320,578,396.9,1.46,63,95,291,75,216,129,24,105,48,0.63,2.88,25.37,28.25,,,,,,,,,,,,,,,
Jefferson town,9,Ashe,3734440,1609,773.7,2.08,142,128,783,251,532,336,40,296,57,0.85,0.34,3,3.33,,,,,,,,,,,,,,,
Jonesville town,197,Yadkin,3734840,2513,871.1,2.88,191,227,1394,392,1002,654,133,521,55,0.63,2.76,13.08,15.84,,,,,,,,,,,,,,,
Kannapolis city,"25, 159","Cabarrus, Rowan",3735200,49788,1521.9,32.71,3006,9972,29354,3071,26283,7144,646,6498,,0.56,0.71,8.84,9.55,,,,,,,,,,,,,,,
Keener CDP,163,Sampson,3735340,176,15.8,11.17,0,0,60,42,18,116,0,116,39,0.94,0,1.88,1.88,9,Clinton Weeks Street Hazard Mitigation Project 2022,"The City of Clinton experiences frequent flooding along Weeks Street, including three major flooding events in 2021. During flooding events along Weeks Street, emergency vehicles are unable to access residences and surrounding roads (including Highway 24) are overtopped. A 2020 preliminary drainage feasibility study found that flooding is likely caused by an undersized pipe system with minimal elevation change. Currently, the existing drainage route runs along Weeks Street into the drainage route from Smithfield Packing Company. Golden LEAF flood mitigation grant funds will be used to reroute the existing drainage system into a separate path to cross Highway 24 and into an existing farm ditch. Additional curb inlets and reinforced concrete pipe will be installed to support the design. City and other funds will be used to improve the existing farm ditch which currently collects runoff. Households in the project area and vehicles traveling on adjacent roads will benefit from this project.",Town of Clinton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Clinton
Kelford town,15,Bertie,3735360,330,684.3,0.48,0,65,192,51,141,73,5,68,46,0.81,0,13.09,13.09,,,,,,,,,,,,,,,
Kelly CDP,17,Bladen,3735440,336,29,11.59,69,27,141,109,32,99,19,80,42,0.83,0,99.42,99.42,7,"Elizabethtown Stormwater Master Plan and Assessment, Phase 1","Elizabethtown experiences frequent flooding with more noticeable impacts in its central subbasin, eastern subbasin, and along Glenwood Drive in the western part of the town. The town is characterized by fairly flat, low-lying topography, which causes floodwaters to stand longer. Golden LEAF flood mitigation grant funds will be used to develop a Stormwater Master Plan. Components of this project include updating the town’s asset inventory, field data collection, modeling of existing watersheds, development of concept plans, and a summary report that will include recommendations. As this is a town-wide project, the benefiting population includes all households and public and private entities in the town.",Town of Elizabethtown,Local Government,Planning,3/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,132000,132000,Elizabethtown
